year_month,estimate,month_of_release,passenger_type,direction,sex,age,standard_error,status
2001-01,344,2020-09,Long-term migrant,Arrivals,Female,0-4 years,0,Final
2001-01,341,2020-09,Long-term migrant,Arrivals,Male,0-4 years,0,Final
2001-01,459,2020-09,Long-term migrant,Arrivals,Female,10-14 years,0,Final
2001-01,510,2020-09,Long-term migrant,Arrivals,Male,10-14 years,0,Final
2001-01,899,2020-09,Long-term migrant,Arrivals,Female,15-19 years,0,Final
2001-01,,2020-09,Long-term migrant,Arrivals,Male,15-19 years,0,Final
2001-01,566,2020-09,Long-term migrant,Arrivals,Female,20-24 years,0,Final
2001-01,566,2020-09,Long-term migrant,Arrivals,Male,20-24 years,0,Final
2001-01,659,2020-09,Long-term migrant,Arrivals,Female,25-29 years,0,Final
,604,2020-09,Long-term migrant,Arrivals,Male,25-29 years,0,Final
2001-01,514,2020-09,Long-term migrant,,Female,30-34 years,0,Final
2001-01,502,2020-09,Long-term migrant,Arrivals,Male,30-34 years,0,Final
2001-01,460,2020-09,Long-term migrant,Arrivals,Female,35-39 years,0,Final
2001-01,407,2020-09,Long-term migrant,Arrivals,Male,35-39 years,0,Final
2001-01,328,2020-09,Long-term migrant,Arrivals,Female,40-44 years,0,Final
2001-01,348,2020-09,Long-term migrant,Arrivals,Male,40-44 years,0,Final
2001-01,206,2020-09,Long-term migrant,Arrivals,Female,45-49 years,0,Final
2001-01,221,2020-09,Long-term migrant,Arrivals,Male,45-49 years,0,Final
2001-01,407,2020-09,Long-term migrant,Arrivals,Female,5-9 years,0,Final
2001-01,404,2020-09,Long-term migrant,Arrivals,Male,5-9 years,0,Final
2001-01,142,2020-09,Long-term migrant,Arrivals,Female,50-54 years,0,Final
2001-01,171,2020-09,Long-term migrant,Arrivals,Male,50-54 years,0,Final
2001-01,93,2020-09,Long-term migrant,Arrivals,Female,55-59 years,0,Final
2001-01,104,2020-09,Long-term migrant,Arrivals,Male,55-59 years,0,Final
2001-01,74,2020-09,Long-term migrant,Arrivals,Female,60-64 years,0,Final
2001-01,69,2020-09,Long-term migrant,Arrivals,Male,60-64 years,0,Final
2001-01,61,2020-09,Long-term migrant,Arrivals,Female,65-69 years,0,Final
2001-01,42,2020-09,Long-term migrant,Arrivals,Male,65-69 years,0,Final
2001-01,32,2020-09,Long-term migrant,Arrivals,Female,70-74 years,0,Final
2001-01,37,2020-09,Long-term migrant,Arrivals,Male,70-74 years,0,Final
2001-01,21,2020-09,Long-term migrant,Arrivals,Female,75-79 years,0,Final
2001-01,14,2020-09,Long-term migrant,Arrivals,Male,75-79 years,0,Final
2001-01,11,2020-09,Long-term migrant,Arrivals,Female,80-84 years,0,Final
2001-01,8,2020-09,Long-term migrant,Arrivals,Male,80-84 years,0,Final
2001-01,4,2020-09,Long-term migrant,Arrivals,Female,85-89 years,0,Final
2001-01,3,2020-09,Long-term migrant,Arrivals,Male,85-89 years,0,Final
2001-01,5,2020-09,Long-term migrant,Arrivals,Female,90+ years,0,Final
2001-01,1,2020-09,Long-term migrant,Arrivals,Male,90+ years,0,Final
2001-01,386,2020-09,Long-term migrant,Departures,Female,0-4 years,0,Final
2001-01,416,2020-09,Long-term migrant,Departures,Male,0-4 years,0,Final
2001-01,363,2020-09,Long-term migrant,Departures,Female,10-14 years,0,Final
2001-01,431,2020-09,Long-term migrant,Departures,Male,10-14 years,0,Final
2001-01,375,2020-09,Long-term migrant,Departures,Female,15-19 years,0,Final
2001-01,410,2020-09,Long-term migrant,Departures,Male,15-19 years,0,Final
2001-01,668,2020-09,Long-term migrant,Departures,Female,20-24 years,0,Final
2001-01,667,2020-09,Long-term migrant,Departures,Male,20-24 years,0,Final
